"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","REPUBLIC","XMAS","substitute_avg_price","sum_rows","weekly_qty","yhat"
"1",2016-01-03,12.7729217369239,-15.8008176119905,-11.5035036595255,0,0,0,0,21.3558250134398,0,0,0,0,0,0,0,0,0,-5.73401079694986,1.09041468189781,206,203.599659656168
"2",2016-01-10,11.9248159012489,-14.7516633228486,-11.1537624018563,0,0,0,0,12.516457151755,0,0,0,0,0,0,0,0,0,-10.0908573819476,-11.5550100536486,187,190.080899966543
"3",2016-01-17,12.1868793392137,-15.0758504329976,-11.7088740596038,0,0,0,0,13.6425861834112,0,0,0,0,0,0,0,0,0,-6.55410282680523,-7.5093617967818,182,194.258176542482
"4",2016-01-24,11.9650113017247,-14.8013872783257,-11.5383538717224,0,0,0,0,10.6074399484255,0,0,0,0,0,0,0,0,0,-6.94195857761687,-10.7092484775148,193,190.721612406905
"5",2016-01-31,11.8320202806771,-14.6368699571611,-11.0989362466644,0,0,0,0,1.43410713808683,0,0,0,0,0,0,0,0,0,0.208317622286074,-12.2613611627756,162,188.601742953363
"6",2016-02-07,14.7631301609336,42.8355261809367,-12.8784345155078,0,0,0,0,9.37221259789379,0,0,-16.8272846607435,0,0,0,0,0,0,-5.01453442041802,32.2506153430949,237,235.323470865456
"7",2016-02-14,12.1220385224857,-14.9956387210625,-9.85996689249117,0,0,0,0,10.2711601659948,0,0,0,0,0,0,0,0,0,-5.70157407049103,-8.16398099556423,180,193.224617542469
"8",2016-02-21,12.0976127902442,-14.9654227259961,-9.08431733669889,0,0,0,0,15.6894660356348,0,0,0,0,0,0,0,0,0,-12.9660945385372,-9.22875577535322,184,192.83527273369
"9",2016-02-28,11.8556887223191,-14.6661491414579,-8.29207563484886,0,0,0,0,0.726851423095923,0,0,0,0,0,0,0,0,0,-1.39530797296626,-11.770992603858,205,188.979016592247
"10",2016-03-06,11.8517486061728,-14.6612749977122,-7.50696567696056,0,0,0,0,9.63972765906809,0,0,0,0,0,0,0,0,0,-11.7189443274633,-12.3957087368952,202,188.916211360764
"11",2016-03-13,11.8711711558937,-14.6853017765513,-6.6290044831247,0,0,0,0,1.6484221714874,0,0,0,0,0,0,0,0,0,-3.71791331479412,-11.512626247089,186,189.225805719386
"12",2016-03-20,14.3571873168713,13.9927661229522,-7.00729858624473,0,0,0,0,11.9778222831997,0,0,0,0,0,0,0,0,0,-3.79253883093909,29.5279383058393,235,228.852764585934
"13",2016-03-27,13.6924189464306,13.3448712304351,-5.58992179850773,0,0,0,0,2.47464020120367,0,0,0,0,0,0,0,0,0,-5.82976487196848,18.0922437075932,230,218.256393860461
"14",2016-04-03,13.2087257720495,-16.3399315449978,-4.03019015563271,0,0,0,0,16.3291390762075,0,0,0,0,0,0,0,0,0,-0.0302522850926437,9.13749086253389,179,210.546351654745
"15",2016-04-10,12.511194852194,-15.4770468369909,-2.91187990440073,0,0,0,0,5.58871363976505,0,0,0,0,0,0,0,0,0,-1.31211404364936,-1.60113229308192,200,199.427747720009
"16",2016-04-17,16.7022611865337,48.4619547844838,-2.38823697133574,0,0,0,0,12.1155737437501,0,0,0,0,0,0,0,0,0,-4.57136438848198,70.3201883549499,271,266.233111194625
"17",2016-04-24,14.1973721237719,41.1939675853857,-0.833444478067463,0,0,0,0,1.67283050055812,0,0,0,-35.4726008509319,0,0,0,0,0,0.000234362820378919,20.7583592435367,220,226.305319326886
"18",2016-05-01,11.7849657350775,34.1943207696021,0.39421936665471,0,0,0,0,3.8366776555965,0,0,0,0,-73.2048213357918,0,0,0,0,-4.13080744494513,-27.1254452538061,202,187.851696122519
"19",2016-05-08,13.5573782083771,-16.7712340824949,1.86364796081455,0,0,0,0,16.5226155083919,0,0,0,0,0,0,0,0,0,-0.112715832981792,15.0596917621068,241,216.103852032233
"20",2016-05-15,14.0639524668505,-17.3978947346094,3.28284971001699,0,0,0,0,22.9826246095403,0,0,0,0,0,0,0,0,0,0.323881811277488,23.2554138630759,250,224.178617441436
"21",2016-05-22,12.5691514149244,-15.5487423422153,4.12694391641239,0,0,0,0,2.56662479141042,0,0,0,0,0,0,0,0,0,-4.39818420792619,-0.684206427394315,215,200.351572095495
"22",2016-05-29,13.199336887899,-16.3283169708934,6.09785327449271,0,0,0,0,13.4161672481493,0,0,0,0,0,0,0,0,0,-7.36087655046526,9.02416388918229,205,210.396693365359
