tran_wk,seas_index
2015-12-27,5601.346939
2016-01-03,5435.05102
2016-01-10,5335.27551
2016-01-17,5262.316327
2016-01-24,5252.102041
2016-01-31,5327.520408
2016-02-07,5516.459184
2016-02-14,5686.591837
2016-02-21,5867.561224
2016-02-28,6017.255102
2016-03-06,6209.806122
2016-03-13,6429.489796
2016-03-20,6636.459184
2016-03-27,6872.387755
2016-04-03,7178.938776
2016-04-10,7395.22449
2016-04-17,7664.795918
2016-04-24,7919.316327
2016-05-01,8199.142857
2016-05-08,8516.928571
2016-05-15,8811.969388
2016-05-22,9105.581633
2016-05-29,9522.030612
2016-06-05,9967.591837
2016-06-12,10402.4898
2016-06-19,10771.52041
2016-06-26,11120.06122
2016-07-03,11497.30612
2016-07-10,11776.19388
2016-07-17,11892.13265
2016-07-24,11859.92857
2016-07-31,11748.41837
2016-08-07,11537.63265
2016-08-14,11259.60204
2016-08-21,10835.37755
2016-08-28,10356.82653
2016-09-04,9897.285714
2016-09-11,9453.704082
2016-09-18,9003.265306
2016-09-25,8594.27551
2016-10-02,8154.459184
2016-10-09,7766.846939
2016-10-16,7436.367347
2016-10-23,7119.765306
2016-10-30,6883.785714
2016-11-06,6772.306122
2016-11-13,6712.010204
2016-11-20,6632.091837
2016-11-27,6553.765306
2016-12-04,6488.877551
2016-12-11,6408.908163
2016-12-18,6241.306122
2016-12-25,5913.846939
2017-01-01,5601.346939
2017-01-08,5435.05102
2017-01-15,5335.27551
2017-01-22,5262.316327
2017-01-29,5252.102041
2017-02-05,5327.520408
2017-02-12,5516.459184
2017-02-19,5686.591837
2017-02-26,5867.561224
2017-03-05,6017.255102
2017-03-12,6209.806122
2017-03-19,6429.489796
2017-03-26,6636.459184
2017-04-02,6872.387755
2017-04-09,7178.938776
2017-04-16,7395.22449
2017-04-23,7664.795918
2017-04-30,7919.316327
2017-05-07,8199.142857
2017-05-14,8516.928571
2017-05-21,8811.969388
2017-05-28,9105.581633
2017-06-04,9522.030612
2017-06-11,9967.591837
2017-06-18,10402.4898
2017-06-25,10771.52041
2017-07-02,11120.06122
2017-07-09,11497.30612
2017-07-16,11776.19388
2017-07-23,11892.13265
2017-07-30,11859.92857
2017-08-06,11748.41837
2017-08-13,11537.63265
2017-08-20,11259.60204
2017-08-27,10835.37755
2017-09-03,10356.82653
2017-09-10,9897.285714
2017-09-17,9453.704082
2017-09-24,9003.265306
2017-10-01,8594.27551
2017-10-08,8154.459184
2017-10-15,7766.846939
2017-10-22,7436.367347
2017-10-29,7119.765306
2017-11-05,6883.785714
2017-11-12,6772.306122
2017-11-19,6712.010204
2017-11-26,6632.091837
2017-12-03,6553.765306
2017-12-10,6488.877551
2017-12-17,6408.908163
2017-12-24,6241.306122
2017-12-31,5913.846939
