cust_id,tran_id,tran_dt,store_id,prod_id,prod_unit,tran_prod_sale_amt,tran_prod_sale_qty,tran_prod_discount_amt,tran_prod_offer_cts,tran_prod_paid_amt,prod_unit_price
14749832,2.01606E+18,2016-06-28,999,138936953,CT,44.97,3,0,0,44.97,14.99
6019835,2.01607E+18,2016-07-21,999,138936952,CT,7.98,2,0,0,7.98,3.99
18829966,2.01607E+18,2016-07-30,999,138936952,CT,11.97,3,1.5,1,10.47,3.99
18829966,2.0161E+18,2016-10-30,999,138936951,CT,3.75,5,0.25,1,3.5,0.75
45089965,2.01612E+18,2016-12-12,999,138936951,CT,3,4,0,0,3,0.75
19489870,2.01612E+18,2016-12-20,999,138936951,CT,3,4,0.4,1,2.6,0.75
49379834,2.01701E+18,2017-01-07,999,138936952,CT,8.58,2,1,1,7.58,4.29
69819835,2.01704E+18,2017-04-20,999,138936951,CT,5.53,7,0,0,5.53,0.79
81779569,2.01707E+18,2017-07-02,999,138936951,CT,0.79,1,0,0,0.79,0.79
35999835,2.01708E+18,2017-08-14,999,138936952,CT,9.18,2,0,0,9.18,4.59
69959834,2.01709E+18,2017-09-15,999,138936952,CT,4.59,1,0,0,4.59,4.59
81779569,2.0171E+18,2017-10-20,999,138936952,CT,13.47,3,0,0,13.47,4.49
92049834,2.01609E+18,2016-09-23,997,138936952,CT,4.29,1,0,0,4.29,4.29
92049834,2.01707E+18,2017-07-08,997,138936951,CT,7.11,9,0,0,7.11,0.79
10359835,2.0171E+18,2017-10-03,997,138936951,CT,5.53,7,1.4,1,4.13,0.79
15149791,2.01712E+18,2017-12-24,997,138936952,CT,22.45,5,2.5,1,19.95,4.49
17279835,2.01601E+18,2016-01-06,996,138936951,CT,2.76,4,0,0,2.76,0.69
71149834,2.01601E+18,2016-01-09,996,138936953,CT,14.99,1,0,0,14.99,14.99
17279835,2.01601E+18,2016-01-13,996,138936952,CT,3.99,1,0,0,3.99,3.99
36559834,2.01601E+18,2016-01-30,996,138936953,CT,29.98,2,0,0,29.98,14.99
36559834,2.01602E+18,2016-02-01,996,138936951,CT,0.69,1,0,0,0.69,0.69
31259704,2.01602E+18,2016-02-26,996,138936951,CT,1.38,2,0,0,1.38,0.69
31469834,2.01603E+18,2016-03-24,996,138936952,CT,7.98,2,1,1,6.98,3.99
29329834,2.01604E+18,2016-04-13,996,138936952,CT,19.95,5,0,0,19.95,3.99
82179835,2.01604E+18,2016-04-17,996,138936951,CT,6.21,9,0.9,1,5.31,0.69
